timestamp,voltage,current,power_factor,active_power_kw,reactive_power_kvar,kwh_15min
2025-01-01T00:00:00+00:00,227.37,5.01,0.9678,1.1,0.29,0.28
2025-01-01T00:15:00+00:00,233.22,4.99,0.9544,1.11,0.35,0.28
2025-01-01T00:30:00+00:00,231.49,3.46,0.9834,0.79,0.15,0.2
2025-01-01T00:45:00+00:00,232.53,3.8,0.9566,0.85,0.26,0.21
2025-01-01T01:00:00+00:00,232.21,5.59,0.9531,1.24,0.39,0.31
2025-01-01T01:15:00+00:00,228.18,4.91,0.9775,1.1,0.24,0.27
2025-01-01T01:30:00+00:00,234.28,5.56,0.989,1.29,0.19,0.32
2025-01-01T01:45:00+00:00,228.87,4.29,0.9598,0.94,0.28,0.24
2025-01-01T02:00:00+00:00,234.48,4.67,0.9857,1.08,0.18,0.27
2025-01-01T02:15:00+00:00,232.76,5.58,0.9711,1.26,0.31,0.32
2025-01-01T02:30:00+00:00,226.56,4.65,0.9751,1.03,0.23,0.26
2025-01-01T02:45:00+00:00,233.55,3.85,0.9737,0.88,0.2,0.22
2025-01-01T03:00:00+00:00,227.19,5.96,0.9646,1.31,0.36,0.33
2025-01-01T03:15:00+00:00,233.63,4.78,0.9579,1.07,0.32,0.27
2025-01-01T03:30:00+00:00,230.99,3.23,0.9721,0.73,0.18,0.18
2025-01-01T03:45:00+00:00,229.53,3.97,0.9675,0.88,0.23,0.22
2025-01-01T04:00:00+00:00,226.61,4.53,0.9551,0.98,0.3,0.25
2025-01-01T04:15:00+00:00,233.09,3.74,0.988,0.86,0.13,0.22
2025-01-01T04:30:00+00:00,232.98,3.69,0.9628,0.83,0.23,0.21
2025-01-01T04:45:00+00:00,234.42,5.62,0.9589,1.26,0.37,0.32
2025-01-01T05:00:00+00:00,230.58,4.59,0.9542,1.01,0.32,0.25
2025-01-01T05:15:00+00:00,228.77,4.99,0.965,1.1,0.3,0.28
2025-01-01T05:30:00+00:00,226.42,6.33,0.9544,1.37,0.43,0.34
2025-01-01T05:45:00+00:00,230.46,9.24,0.9577,2.04,0.61,0.51
2025-01-01T06:00:00+00:00,229.96,17.11,0.9516,3.74,1.21,0.94
2025-01-01T06:15:00+00:00,231.56,6.92,0.9677,1.55,0.4,0.39
2025-01-01T06:30:00+00:00,225.84,8.14,0.9514,1.75,0.57,0.44
2025-01-01T06:45:00+00:00,232.56,9.59,0.9818,2.19,0.42,0.55
2025-01-01T07:00:00+00:00,227.88,22.0,0.9567,5.0,1.52,1.25
2025-01-01T07:15:00+00:00,228.67,22.0,0.9656,5.0,1.35,1.25
2025-01-01T07:30:00+00:00,226.48,13.63,0.9543,2.95,0.92,0.74
2025-01-01T07:45:00+00:00,228.31,22.0,0.9538,5.0,1.58,1.25
